intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0015-4-1,213.663757013405,59.23577326662502,image,"Ricker, George",3,58710.87239573,58736.89295962,1425.599379,600.0,1000.0,None,58756.3333334,N/A,None,15,POLYGON 227.56190400 55.89237000 210.04086200 50.98859500 197.01254300 60.84640200 220.28641600 67.20814100 227.56190400 55.89237000 ,None,None,PUBLIC,False,,27507612,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0016-4-2,212.30402126249587,60.07494114551335,image,"Ricker, George",3,58738.14296066,58762.80989931,1425.599358,600.0,1000.0,None,58782.3333334,N/A,None,16,POLYGON 229.37435900 60.01041400 214.07446900 51.68741000 196.03304800 58.29286400 209.43843900 68.12874100 229.37435900 60.01041400 ,None,None,PUBLIC,False,,27545565,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0022-3-2,211.5528571659987,53.479178413396006,image,"Ricker, George",3,58898.81468023,58925.9816567,1425.599393,600.0,1000.0,None,58945.0,N/A,None,22,POLYGON 197.21155800 53.68805800 213.62208000 61.85511000 225.06179500 51.33131400 210.22279900 45.37599500 197.21155800 53.68805800 ,None,None,PUBLIC,False,,27347175,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0023-3-1,214.08762686092535,52.09297393161394,image,"Ricker, George",3,58927.60665447,58954.37721433,1425.599383,600.0,1000.0,None,58973.0,N/A,None,23,POLYGON 201.94384300 49.35823100 209.00702800 60.11405900 227.88520700 53.47465600 217.20336800 43.84984000 201.94384300 49.35823100 ,None,None,PUBLIC,False,,27386995,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0049-3-2,216.26273295815528,51.01648310733316,image,"Ricker, George",3,59636.97409506945,59663.81468040509,475.199787,600.0,1000.0,None,59695.0,N/A,None,49,POLYGON 202.748482 50.900067 217.401787 59.438099 229.286164 49.315482 215.509625 42.883213 202.748482 50.900067,None,None,PUBLIC,False,,83168230,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,None,tess-s0050-3-1,218.28463279668145,49.94660040297678,image,"Ricker, George",3,59664.773013287035,59691.00886320602,475.199783,600.0,1000.0,None,59710.0,N/A,None,50,POLYGON 206.855847 46.936378 212.869939 57.833182 231.371297 51.752094 221.773307 41.797418 206.855847 46.936378,None,None,PUBLIC,False,,83315713,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441662337,None,tess2019253231442-s0016-0000000441662337-0152-s,210.990252168186,54.3157034586282,timeseries,"Ricker, George",3,58738.1481087,58762.81631051,120.0,600.0,1000.0,None,58782.3333334,G022217,None,16,CIRCLE ICRS 210.99025217 54.31570346 0.00138889,None,mast:TESS/product/tess2019253231442-s0016-0000000441662337-0152-s_lc.fits,PUBLIC,False,,27515613,406.83659050207996
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441662337,None,tess2020049080258-s0022-0000000441662337-0174-s,210.990252168186,54.3157034586282,timeseries,"Ricker, George",3,58898.8202244,58925.99548671,120.0,600.0,1000.0,None,58945.0,G022217,None,22,CIRCLE ICRS 210.99025217 54.31570346 0.00138889,None,mast:TESS/product/tess2020049080258-s0022-0000000441662337-0174-s_lc.fits,PUBLIC,False,,27310656,406.83659050207996
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441662337,None,tess2020078014623-s0023-0000000441662337-0177-s,210.990252168186,54.3157034586282,timeseries,"Ricker, George",3,58927.60658818,58954.37703047,120.0,600.0,1000.0,None,58973.0,G022217,None,23,CIRCLE ICRS 210.99025217 54.31570346 0.00138889,None,mast:TESS/product/tess2020078014623-s0023-0000000441662337-0177-s_lc.fits,PUBLIC,False,,27355005,406.83659050207996
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441662337,None,tess2022057073128-s0049-0000000441662337-0221-s,210.990252168186,54.3157034586282,timeseries,"Ricker, George",3,59636.974212974535,59663.81735712963,120.0,600.0,1000.0,None,59695.0,G04200_G04177,None,49,CIRCLE 210.99025217 54.31570346 0.00138889,None,mast:TESS/product/tess2022057073128-s0049-0000000441662337-0221-s_lc.fits,PUBLIC,False,,82453572,406.83659050207996
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441662337,None,tess2022085151738-s0050-0000000441662337-0222-s,210.990252168186,54.3157034586282,timeseries,"Ricker, George",3,59664.77290015046,59691.01127070602,120.0,600.0,1000.0,None,59710.0,G04200_G04177,None,50,CIRCLE 210.99025217 54.31570346 0.00138889,None,mast:TESS/product/tess2022085151738-s0050-0000000441662337-0222-s_lc.fits,PUBLIC,False,,83250519,406.83659050207996
science,SWIFT,None,UVOT,None,U,OPTICAL,M101ULX-1,None,00030896001,210.884468835902,54.3320323874192,cube,None,2,54160.089537,54160.8269792,1556.7224828509793,301400000000.0,394200000000.0,None,,None,None,-999,POLYGON -148.68197799999996 54.250447 -148.72010699999998 54.380959 -148.771094 54.525161 -148.80113844209316 54.522015545787568 -148.80339800000002 54.528132 -149.00890800000002 54.505617 -149.22571413697636 54.475317193971954 -149.23336 54.474477 -149.23331320240226 54.4742473291218 -149.25735499999996 54.470859 -149.25591688496976 54.465950017458638 -149.37013000000002 54.452035 -149.36860315816716 54.445640407505977 -149.38111000000004 54.443785 -149.339132 54.309445 -149.32235856865978 54.265305792795992 -149.31201271706755 54.2313318148205 -149.29647799999998 54.175928999999996 -149.28874914509623 54.176570406780428 -149.28693099999998 54.171759 -149.13378760314151 54.189321891688223 -149.070602 54.194462 -148.83541400000001 54.220082 -148.83659838226143 54.22526868924821 -148.83561599999996 54.225382 -148.83630396949408 54.228123086154028 -148.706526 54.241669 -148.70769828707938 54.247103078929328 -148.68197799999996 54.250447 -148.68197799999996 54.250447,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896001uuu[6]&size=ALL&output_size=2320,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896001/sw00030896001uuu_sk.img,PUBLIC,False,5885.0,1528454,0.0
science,SWIFT,None,UVOT,None,B,OPTICAL,M101ULX-1,None,00030896001,210.884468835902,54.3320323874192,cube,None,2,54160.0926389,54160.8298611,1321.127534270578,369500000000.0,499000000000.0,None,,None,None,-999,POLYGON -148.68055500000003 54.251137 -148.71914400000003 54.383325 -148.76966600000003 54.525852 -148.79971225606661 54.522700039573856 -148.801893 54.528631 -149.00692600000002 54.506118 -149.255857 54.471223 -149.25438642604269 54.466197489340161 -149.369172 54.452177 -149.36789795426569 54.446874721773582 -149.38007800000003 54.445068 -149.33785699999999 54.309473 -149.32247302428951 54.268984279905432 -149.30851692705431 54.223198271124559 -149.29528800000003 54.176209 -149.28758049009454 54.176848469840927 -149.28614200000004 54.173041 -149.1650582692817 54.186945074546394 -149.071079 54.194602 -148.83421899999996 54.220359 -148.83541186984021 54.225570809784969 -148.83465999999999 54.225658 -148.83529618274471 54.228190666609642 -148.70471299999997 54.241805 -148.70600985108217 54.247821258905468 -148.68055500000003 54.251137 -148.68055500000003 54.251137,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00030896001ubb[3]&size=ALL&output_size=2360,http://archive.stsci.edu/missions/swift_uvot/00030896/00030896001/sw00030896001ubb_sk.img,PUBLIC,False,5885.0,1528367,0.0
